,Company Name,Formerly,Company type,Traded as,ISIN,Industry,Founded,Founder,Headquarters,Key people,Services,Operating income,Net income,AUM,Number of employees,Website,Revenue,Trade name,Predecessor,Area served,Products,Total assets,Total equity,Owner,Subsidiaries,Divisions,Predecessors,Founders,Number of locations,Production output,Brands,Parent
50,JD Sports,,Public limited company,LSE: JD.FTSE 100 component,,Retail,1981; 43 years ago (1981),,"Bury, Greater Manchester, England, UK",Andy Higginson (Chairman) Régis Schultz (Chief Executive Officer),,£721.2 million (2022)[2],£459.6 million (2022)[2],,"44,488 (2022)[2]",jdplc.com,"£8,563.0 million (2022)[2]",,,International,ClothingSportswear Accessories,,,Pentland Group (55%)  Aberforth Partners (10%)  Fidelity Management (5%)  Peter Cowgill (CEO) (1%)  Other Minor Shareholders (29%),"AktiesportBlacksBodytoneChausportDown Town Locker RoomExercise4LessFinish Line, Inc.Fishing RepublicFootpatrolGet The LabelGO OutdoorsJD GymsJD SportsMainlineMilletsNice KicksPerry SportShoe PalaceSize?SportzoneSprinterTisoThe Hip StoreUltimate Outdoors",,,John WardleDavid Makin,"3,400 stores (31 July 2022)[1]",,,
51,Kingfisher plc,Paternoster Stones Public Limited Company (September–November 1982)Woolworth Holdings plc (1982–1989)[1],Public limited company,LSE: KGFOTCQX: KGFHFFTSE 100 Component,GB0033195214,Retail,16 September 1982; 41 years ago (1982-09-16),,"London, England, UK[2]",Andy Cosslett (chair­person) Thierry Garnier (CEO),,"£1,086 million (2022)[3]",£843 million (2022)[3],,"80,000 (2023)[4]",kingfisher.com,"£13,183 million (2022)[3]",,,,Home appliancesToolsHome furnishingsBardwareGarden supplies & plants,,,,B&QBrico DépôtCastoramaScrewfix,,,,,,,
52,Land Securities,,Public limited company,LSE: LANDFTSE 100 Component,,Property,1944; 80 years ago (1944),,"London, England, UK",Ian Cheshire (chair­person) Mark Allan (CEO),,£466 million (2023)[1],£(622) million (2023)[1],,,www.landsec.com,£726 million (2023)[1],,,,"property development, property investment",,,,,,,,,,,
53,Legal & General,,Public limited company,LSE: LGENFTSE 100 Component,,Financial services  Asset management,1836; 188 years ago (1836),,"London, England, UK",Sir John Kingman (chairman)Antonio Simoes (CEO),,"£2,730 million (2022)[1]","£2,290 million (2022)[1]","£1,196 billion (2022)[1]",,www.legalandgeneral.com,"£(89,294) million (2022)[1]",,,,"Investments, Lifetime Mortgages, Pensions, Annuities","£513,276 million (2022)[1]","£12,139 million (2022)[1]",,,,,,,,,
54,Lloyds Banking Group,TSB Group Public Limited Company (1985–1995)Lloyds TSB Group plc (1995–2009)[1],Public limited company,"LSE: LLOY
NYSE: LYG
FTSE 100 component",,"Banking
Financial services",16 January 2009; 15 years ago (2009-01-16)[note 1],,"London, England, UK(operational headquarters)
Edinburgh, Scotland, UK(registered office)","Robin Budenberg (chairman)
Charlie Nunn (chief executive)",,£6.928 billion (2022)[2],£5.555 billion (2022)[2],£173 billion (2020)[3],"58,000 (2023)[4]",lloydsbankinggroup.com,£13.957 billion (2022)[2],,,United Kingdom,"Retail banking
Commercial banking
Investment banking
Private banking
General insurance
Life assurance
Pensions
Investment banking",£877.8 billion (2022)[2],£47.5 billion (2022)[2],,"Lloyds Bank
Bank of Scotland
Scottish Widows
Lloyds Development Capital
Agricultural Mortgage Corporation
Black Horse
Lex Autolease","Consumer Lending and Consumer Relationships
Business & Commercial Banking
Corporate & Institutional Banking
Insurance, Pensions & Investments",,,,,,
55,London Stock Exchange Group,Milescreen Limited (February–November 2005)London Stock Exchange Group Limited (November–December 2005)[1],Public limited company,LSE: LSEGFTSE 100 Component,,Financial services,23 June 2007; 16 years ago (2007-06-23),,"Paternoster SquareLondon, England, UK",Don Robert (chair­person) David Schwimmer (CEO),,£2.728  billion (2022)[2],£1.491 billion (2022)[2],,,lseg.com,£7.743 billion (2022)[2],,,,Financial markets infrastructureStock exchangeData analyticsClearing,,,,,Data and AnalyticsCapital MarketsPost TradeRefinitivLSEG TechnologyFTSE Russell,,,,,,
56,M&G,Voyager Dallas Holding Company Limited (2–3 July 2018)M&G Prudential Limited (2018–2019)M&G Prudential plc (July–September 2019)[1],Public,LSE: MNGFTSE 100 component,GB00BKFB1C65,Financial services,1931; 93 years ago (1931) (demerged 2019),,"London, England, UK",Andrea Rossi (CEO),,"£(2,497) million (2022)[2]","£(1,619) million (2022)[2]",£342.0 billion (2022)[2],"c.5,000 (2023)[3]",mandgplc.com,"£6,507 million (2022)[2]",,,,,,,,,,,,,,M&G InvestmentsM&G Real EstateM&G Recovery Fund,
57,Marks & Spencer,,Public limited company,LSE: MKSFTSE 100 Component,US57069PAD42,Retail,"1884; 140 years ago (1884)Leeds, West Riding of Yorkshire, England",,London,Archie Norman(Chairman)Stuart Machin(Chief Executive)Katie Bickerstaffe(Co-Chief Executive),,£515.1 million (2023)[1],£364.5 million (2023)[1],,"72,316 (2023)[1]",marksandspencer.com,"£11,931.3 million (2023)[1]",,,Worldwide,,,,,,,,Michael MarksThomas Spencer,"1,463 (2019)",,Per UnaAutographGoodmoveRosieBlue HarbourM&S CollectionBoutiqueJaegerM&S Energy,Marks and Spencer Group P.L.C. (2016–present)[2]
58,Melrose Industries,,Public limited company,LSE: MROFTSE 100 component,,Manufacturing,2003,Christopher MillerDavid RoperSimon Peckham,"London, England, UK",Justin Dowley (chair­person) Simon Peckham (CEO),,£(236) million (2022)[1],£(303) million (2022)[1],,,www.melroseplc.net,"£7,537 million (2022)[1]",,,,,,,,,,,,,,,
59,Mondi,,Public limited company,LSE: MNDIJSE: MNPFTSE 100 Component,,Packaging and Paper,1967; 57 years ago (1967),,United KingdomAustria[1],Philip Yea (chair­person) Andrew King (CEO),,"€1,443 million (2022)[2]","€1,525 million (2022)[2]",,"21,000 (2023)[3]",www.mondigroup.com,"€8,902 million (2022)[2]",,,,"Pulp, paper, containerboard, and packaging",,,,,,,,,,,
60,National Grid plc,New National Grid plc (2000–2002)National Grid Group plc (January–October 2002)National Grid Transco plc (2002–2005)[1],Public limited company,LSE: NG.NYSE: NGGFTSE 100 component (NG.),GB00BDR05C01,Utilities,1990; 34 years ago (1990) in London,,"London, England, UK[2]",Paula Rosput Reynolds (Chair)John Pettigrew (CEO),,£3.813 billion (2022)[3],£2.354 billion (2022)[3],,"30,756 (2022)[3]",nationalgrid.com,£18.260 billion (2022)[3],,Central Electricity Generating Board,,Electricity transmissionElectricity distributionGas distributionGas transmission,£94.860 billion (2022)[3],£23.856 billion (2022)[3],,,,,,,,,
61,NatWest Group,National and Commercial Banking Group Ltd. (1968–1979)The Royal Bank of Scotland Group Ltd. (1979–1982)The Royal Bank of Scotland Group plc (1982–2020),Public limited company,"LSE: NWG
NYSE: NWG
FTSE 100 Component",,"Banking
Financial services",25 March 1968; 55 years ago (1968-03-25),,"Edinburgh, Scotland, UK",Sir Howard Davies(Chairman)Paul Thwaite(Group Chief Executive),,£5.132 billion (2022)[1],£3.595 billion (2022)[1],,"57,900 (2022)[1]",www.natwestgroup.com,£13.156 billion (2022)[1],,,United Kingdom,"Finance and insurance
Retail banking
Corporate banking
Investment banking
Private banking
Mortgages
Credit cards",£720.053 billion (2022)[1],£36.496 billion (2022)[1],UK Government Investments (39%),"NatWest Holdings
NatWest Markets
RBS International",,,,,,,
62,Next plc,J Hepworth & Son (1864–1982),Public limited company,LSE: NXTFTSE 100 Component,GB0032089863,Retail,1864; 160 years ago (1864)Leeds,Joseph Hepworth,"Enderby, England, UK",Michael Roney (chair­person) Simon Wolfson (CEO),,£905.4 million (2022)[2],£677.5 million (2022)[2],,"43,040 (2022)[2]",www.next.co.uk,"£4,376.5 million (2022)[2]",,,United KingdomEuropeAsiaMiddle East,,"£3,981.8 million (2022)[2]","£1,010.0 million (2022)[2]",Next Holdings Limited,,,,,c. 500 stores (2018)[1],,Victoria's Secret UKGap UKJoulesCath KidstonFatFace,
63,Ocado Group,,Public,LSE: OCDO,,Internet retail,April 2000; 23 years ago (2000-04)[1],Jonathan FaimanJason Gissing Tim Steiner,"Hatfield, Hertfordshire, England, UK","Richard Haythornthwaite, ChairmanTim Steiner, CEO","Groceries, consumer goods",£(422.7) million (2022)[2],£(481.3) million (2022)[2],,,ocadogroup.com,"£2,513.8 million (2022)[2]",,,United Kingdom,,,,,,,,,,,,
64,Pearson plc,S. Pearson & Son,Public,LSE: PSONNYSE: PSOFTSE 100 Component,GB0006776081,Educationmass media,1844; 180 years ago (1844),Samuel Pearson,"Shell Mex House, London, England",Omid Kordestani (chairman)Omar Abbosh (CEO),Educational assessmentschool managementhigher education,£271 million (2022),£244 million (2022),,,www.pearson.com,£3.84 billion (2022),,,,"Publishing (books, newspapers, magazines)",,,,Edexcel,,,,,,,
65,Pershing Square Holdings,,Public,LSE: PSHFTSE 100 component,,,2 February 2012,,"Saint Peter Port, Guernsey",,,,,,,www.pershingsquareholdings.com,,,,,,,,,,,,,,,,
66,Persimmon,,Public limited company,LSE: PSNFTSE 100 Component,,Housebuilding,1972; 52 years ago (1972),,"York, England, UK",Roger Devlin (Chairman)[1]Dean Finch (CEO)[2],,£724.9 million (2022)[3],£561.0 million (2022)[3],,"5,000 (2022)[4]",www.persimmonhomes.com,"£3,815.8 million (2022)[3]",,,,,,,,Charles ChurchWestbury PartnershipsSpace 4,,,,,,,
67,Phoenix Group,,Public,LSE: PHNXFTSE 100 component,,Insurance,1857,,"London, England, UK",Alastair Barbour(Chairman)Andy Briggs(Group Chief Executive),,"£(2,610) million (2022)[1]","£(1,762) million (2022)[1]",,"7,885 (2021)[1]",www.thephoenixgroup.com,"£6,318 million (2022)[1]",,,"United Kingdom, Ireland, Germany",,,,,,,,,,,,
68,Prudential plc,Prudential Corporation Public Limited Company (1978–1999)[1],Public limited company,LSE: PRUNYSE: PUKSEHK: 2378FTSE 100 Component,,Insurance,1848; 176 years ago (1848) in London,,"London, England, UK",Shriti Vadera(Chair)Anil Wadhwani(Chief Executive Officer),,$1.482 billion (2022)[2],"$1,007 billion (2022)[2]",,"23,000 (2023)[3]",www.prudentialplc.com,$21.401 billion (2022)[2],,,Worldwide,Life insuranceInvestment managementConsumer finance,$165.942 billion (2022)[2],$17.127 billion (2022)[2],,Eastspring InvestmentsICICI Prudential Life Insurance,,,,,,,
69,Reckitt,,Public,LSE: RKTFTSE 100 Component,GB00B24CGK77,Consumer goods,1814; 210 years ago (1814)(J&J Colman)1823; 201 years ago (1823)(Benckiser)1840; 184 years ago (1840)(Reckitt & Sons)1938; 86 years ago (1938)(merger of Reckitt & Sons and J&J Colman)1999; 25 years ago (1999)(merger of Reckitt & Colman and Benckiser),,"Slough, England",Christopher A. Sinclair (Chairman)Kris Licht (CEO),,"£3,249 million (2022)[1]","£2,349 million (2022)[1]",,"40,000 (2023)[2]",reckitt.com,"£14,453 million (2022)[1]",Reckitt,Colman'sHoffmann's Stärkefabriken,,Cleaning agentsskin carepersonal carenutritionconsumer healthcare,,,,Mead JohnsonUpSpring,,,Isaac Reckitt(Reckitt & Sons branch)Jeremiah Colman(J&J Colman branch)Johann Benckiser(Benckiser N.V. branch)Edward Mead Johnson(Mead Johnson branch),,,,
70,RELX,,Public,LSE: RELEuronext Amsterdam: RENNYSE: RELX (ADR)FTSE 100 componentAEX component,GB00B2B0DG97,Information and analytics,August 1993; 30 years ago (1993-08)(by merger),,"London, England, UK",Paul Walker (chairperson)Erik Engström (CEO)Nick Luff (CFO),,£2.323 billion (2022)[1],£1.632 billion (2022)[1],,"35,700 (2022)[1]",www.relx.com,£8.553 billion (2022)[1],,ElsevierReed International PLC,,"Information and data analytics, academic and business publishing, exhibitions",£15.829 billion (2022)[1],£3.754 billion (2022)[1],,ElsevierLexisNexisRXLexisNexis Risk Solutions,,,,,,,
71,Rentokil Initial,,Public limited company,"LSE: RTO
NYSE: RTO
FTSE 100 Component",,Business services,1925,,"Crawley, England, UK",Richard Solomons (chair­person),,£317 million (2022)[1],£232 million (2022)[1],,"circa 36,000 (2022)[2]",www.rentokil-initial.com,"£3,714 million (2022)[1]",,,,,,,,,,,,,,,
72,Rightmove,Rightmove Group Limited	(14–29 November 2007)Rightmove Group plc (2007–2008)[1],Public,LSE: RMVFTSE 100 component,,Internet & Real Estate,2000,,"London, England, UK","Andrew Fisher (chairperson), Johan Svanstrom (CEO)",,£241.3 million (2022)[2],£195.7 million (2022)[2],,,rightmove.co.uk,£332.6 million (2022)[2],,,,,,,,,,,,,,,
73,Rio Tinto,,Dual-listed company,ASX: RIOLSE: RIONYSE: RIOFTSE 100 Index componentS&P/ASX 200 component,,Metals and Mining,29 March 1873; 150 years ago (1873-03-29),,"London, EnglandMelbourne, Australia",Dominic Barton(Chairman)Jakob Stausholm(Chief executive),,US$19.933 billion (2022)[1],US$13.076 billion (2022)[1],,"45,000 (2022)[2]",www.riotinto.com,US$55.554 billion (2022)[1],,,Worldwide,"Iron ore, Bauxite, Alumina, Aluminium, Copper, Molybdenum, Gold, Diamonds, Uranium, Titanium Dioxide, Borates, Salt, Talc",US$96.744 billion (2022)[1],US$52.274 billion (2022)[1],,,,,,,,,
74,Rolls-Royce Holdings,,Public limited company,LSE: RR.FTSE 100 Component,GB00B63H8491,"Aerospace, Defence, Energy, Marine","Partnership: 23 December 1904; 119 years ago (1904-12-23)Business: 15 March 1906; 117 years ago (1906-03-15), in Manchester, Lancashire, EnglandCompany: incorporated 10 February 2011 (2011-02-10), transition completed 23 May 2011 (2011-05-23)",Charles Rolls and Henry Royce (as Rolls-Royce Limited),"Kings Place, London, England, United Kingdom",Anita Frew (Chairperson)Tufan Erginbilgic (CEO),,£837 million (2022)[1],"£(1,194) million (2022)[1]",,"50,000 (2023)[2]",rolls-royce.com,"£13,520 million (2022)[1]",Rolls-Royce,Rolls-Royce Group plcRolls-Royce plc,,Civil and military aero enginesMarine propulsion systemsPower generation equipment,"£29,450 million (2022)[1]","£(6,016) million (2022)[1]",,Subsidiaries include:Rolls-Royce plc- Rolls-Royce North America- Rolls-Royce AB- Rolls-Royce Deutschland- Rolls-Royce India Private Limited- Rolls-Royce Marine Power Operations- Vinters Engineering Limited- Rolls-Royce Controls and Data Services- Rolls-Royce Power Systems- Bergen MarineJoint ventures include:- Rolls-Royce Turbomeca- MTU Turbomeca Rolls-Royce,,,,,,,
75,RS Group plc,,Public,LSE: RS1FTSE 100 component,,,1937; 87 years ago (1937),,"London, England, UK",Baroness Rona Fairhead (Chairperson)Simon Pryce (CEO),,£308.8 million (2022)[1],£230.0 million (2022)[1],,"7,654 (2022)[1]",www.rsgroup.com,"£2,553.7 million (2022)[1]",,,,,,,,,,,,,,,
76,Sage Group,,Public limited company,LSE: SGEFTSE 100 Component,,Software,27 April 1981; 42 years ago (1981-04-27)[1],David GoldmanPaul MullerSir Graham Wylie CBE,"Newcastle upon Tyne, England, UK",Andrew Duff (chair­person) Steve Hare (CEO),,£ 377 million (2022)[2],£ 260 million (2022)[2],,"11,228 (2022)[2]",www.sage.com,"£ 1,949 million (2022)[2]",,,Worldwide,AccountingCRMMRP,"£ 3,896 million (2022)[2]","£ 1,397 million (2022)[2]",,,,,,Offices in 23 countries,,,
77,Sainsbury's,,Public,"LSE: SBRY
FTSE 100 Component",,Retailing,"1869; 155 years ago (1869) in Holborn, London, United Kingdom",John James Sainsbury,"London, England, United Kingdom",Martin Scicluna (Chairman)Simon Roberts (CEO),,"£1,039 million (2022)[1]",£677 million (2022)[1],,"171,000 (2022)[1]",CorporateConsumer,£29.895 billion (2022)[1],Sainsbury's,,United Kingdom,"Hypermarket/Superstore, supermarket, convenience shop, forecourt shop",,,,"Sainsbury's Bank
Sainsbury's Supermarkets Ltd.
Sainsbury's Local",,,,"1,400 shops (2022)",,ArgosHabitatNectarTu,
78,Schroders,,Public limited company,LSE: SDRLSE: SDRCFTSE 100 Component,,Investment management,1804; 220 years ago (1804),Johann Heinrich Schröder,"London, England, UK",Elizabeth Corley (chair­person) Peter Harrison (CEO),,£723.0 million (2022)[1],£486.2 million (2022)[1],£726.1 billion (2023)[2],"6,100 (2023)",www.schroders.com,"£2,891.7 million (2022)[1]",,,,Asset managementRisk managementMutual fundsExchange-traded fundsIndex fundsStockbroking,,,,"Cazenove (stock broker), Asia Pacific Land Limited, Blue Asset Management, Schroder & Co Bank AG, Sandaire Investment Office, Schroders Capital",,,,,,,
79,Scottish Mortgage Investment Trust,,Public,LSE: SMTFTSE 100 Component,,Investment management,1909; 115 years ago (1909),,"Edinburgh, Scotland, United Kingdom",Fiona McBain (chair­person) Tom Slater (manager)Lawrence Burns (deputy manager),,,,,,www.scottishmortgage.com,,,,,,,,,,,,,,,,
80,Segro,,Public,LSE: SGROFTSE 100 Component,,Property,1920,,"London, England, UK[1]",Gerald Corbett (chair­person) David Sleath (CEO),,"£(1,694) million (2022)[2]","£(1,930) million (2022)[2]",,,www.segro.com,£669 million (2022)[2],,,,,,,,,,,,,,,
81,Severn Trent,,Public limited company (plc),LSE: SVTFTSE 100 Component,,Water industry,1989; 35 years ago (1989),,"Coventry, England, UK",Christine Hodgson (chair­person) Liv Garfield (CEO),,£508.3 million (2022)[1],£(87.2) million (2022)[1],,"7,000 (2022)[2]",www.severntrent.com,"£1,943.3 million (2022)[1]",,,"Midlands, South West",Drinking waterRecycled wastewater,,,,,,,,,1.8 Gl/day (drinking)1.4 Gl/day (recycled),,
82,Shell plc,Forthdeal Limited (2002–2004)Royal Dutch Shell plc (2004–2022)[1],Public limited company,"LSE: SHEL
Euronext Amsterdam: SHELL
NYSE: SHEL
FTSE 100 Component
AEX Component",GB00BP6MXD84,EnergyPetroleum,"April 1907; 116 years ago (1907-04) (original amalgamation)20 July 2005; 18 years ago (2005-07-20) in Shell Centre, London (current entity)",,"Shell Centre, London, England, UK",Andrew Mackenzie (chair­person) Wael Sawan (CEO),,US$68.0 billion (2022)[2],US$42.9 billion (2022)[2],,"86,000 (2022)[3]",shell.com,US$381.3 billion (2022)[2],,,Worldwide,LNGLubricantsNatural gasPetrochemicalsPetroleum,US$443.0 billion (2022)[2],US$192.6 billion (2022)[2],,"List

Shell Australia
Shell Canada
Shell Chile
Shell Hong Kong
Shell India
Shell Italia
Shell Nigeria
Shell Oman
Shell Pakistan
Shell Philippines
Shell South Africa
Shell Tunisia
Shell US","Shell Chemicals
Shell Gas & Power","Royal Dutch Petroleum Company (1890)
The Shell Transport and Trading Company (1897)",Marcus & Samuel Samuel(Shell Transport and Trading Co.)Jean B.A. KesslerHenri DeterdingHugo Loudon(Royal Dutch Petroleum Co.),,,"Jiffy Lube
Pennzoil
Quaker State
Shell Advance
Shell Helix
Shell Nautilus
Shell Rimula
Shell Rotella
Shell V-Power",
83,DS Smith,,Public limited company,LSE: SMDSFTSE 100 component,GB0008220112,Packaging,1940,,London,Geoff Drabble (chair­person) Miles Roberts (CEO),,£478 million (2022)[1],£315 million (2022)[1],,"29,584 (2022)[1]",dssmith.com,"£7,241 million (2022)[1]",,,,,,,,,,,,,,,
84,Smiths Group,,Public limited company,LSE: SMINFTSE 100 Component,,Engineering,1851; 173 years ago (1851)(London),Samuel Smith,"London, England, UK",Steve Williams (Chairman)Paul Keel (CEO),,£501 million (2023)[2],£232 million (2023)[2],,"15,000 (2023)[3]",www.smiths.com,"£3,037 million (2023)[2]",,,Worldwide,"Seal, bearing, filtration, and rotating productsSecurity sensorsElectronic connector, microwave, and protection productsHVAC and fluid management components[1]",,,,,"John Crane Inc.,   Smiths Detection,  Smiths Interconnect,  Flex-Tek",,,,,,
85,Smith & Nephew,,Public limited company,LSE: SN.NYSE: SNNFTSE 100 Component,,Medical equipment,1856; 168 years ago (1856)[1][2][3](Kingston upon Hull),Thomas James Smith[1][2][3],"Watford, England, UK",Rupert Soames (Chairman) Dr Deepak Nath (CEO)[4],,$450 million (2022)[5],$223 million (2022)[5],,"17,500 (2022)[6]",www.smith-nephew.com,"$5,215 million (2022)[5]",,,,Medical equipment,,,,,,,,,,,
86,Smurfit Kappa,,Public limited company,"Euronext Dublin: SK3
ISEQ 20 componentLSE: SKGFTSE 100 component",IE00B1RR8406,Packaging,1934,,"Dublin, Ireland",Irial Finan (chair­person) Anthony Smurfit (CEO),,"€1,662 million (2022)[1]",€945 million (2022)[1],,"48,000 (2023)[2]",www.smurfitkappa.com,"€12,815 million (2022)[1]",,,,Paper-based packing containers,,,,,,,,,,,
87,Spirax-Sarco Engineering,,Public,LSE: SPXFTSE 100 component,,Manufacturing,1888,,"Cheltenham, England, UK",Jamie Pike (chair­person) Nicholas Anderson (CEO),,£380.2 million (2022)[1],£225.0 million (2022)[1],,"7,800 (2022)[2]",www.spiraxsarcoengineering.com,"£1,610.6 million (2022)[1]",,,,,,,,,,,,,,,
88,SSE plc,,Public limited company,LSE: SSEFTSE 100 component,GB0007908733,Energy,1998; 26 years ago (1998),,"Perth, Scotland, UK",Richard Gillingwater (Chairman)[1]Alistair Phillips-Davies (CEO)[2],"Power generation and distribution, natural gas production, transportation, and distribution, telecommunications, metering","£1,389.0 million (2022)[3]","£3,031.4 million (2022)[3]",,"10,754 (2022)[3]",www.sse.com,"£8,608.2 million (2022)[3]",,,United KingdomIreland,,,,,SSE ThermalScottish and Southern Electricity NetworksSSE RenewablesSSE AirtricityMultifuel Energy,,,,,,,
89,Standard Chartered,,Public limited company,"LSE: STAN
SEHK: 2888
FTSE 100 component (STAN)",GB0004082847,"Banking, Financial services","As Chartered Bank of India, Australia, and China on 29 December 1853; 170 years ago (1853-12-29)As Standard Chartered on 18 November 1969; 54 years ago (1969-11-18)",James Wilson with a royal charter (for the Chartered Bank line),"London, England, UK","José Viñals(group chairman)
Bill Winters(group chief executive)",Credit cardsConsumer bankingCorporate bankingInvestment bankingMortgage loansPrivate bankingWealth management,US$ 4.286 billion (2022)[1],US$ 2.902 billion (2022)[1],,"85,000 (2023)[3]",www.sc.com,US$ 16.318 billion (2022)[1],,"Standard Bank
Chartered Bank",Worldwide,,US$ 819.922 billion (2022)[1],US$ 50.016 billion (2022)[1],Temasek Holdings (17%)[2],,,,,,,,
90,St. James's Place plc,,Public limited company,LSE: STJFTSE 100 Component,,Wealth management,1991; 33 years ago (1991),Mike WilsonMark Weinberg,"Cirencester, England, UK",Paul Manduca (chairperson)[1][2]Mark FitzPatrick (CEO)[3],,£0.7 million (2022)[4],£501.8 million (2022)[4],£153.62 billion (2023)[5],,www.sjp.co.uk,"£(11,807.3) million (2022)[4]",,,,Wealth Management,,,,,,,,,,,
91,Taylor Wimpey,,Public limited company,LSE: TW.FTSE 100 Component,,Housebuilding,2007; 17 years ago (2007),,"High Wycombe, England, UK",Irene Dorner (chair­person) Jennie Daly (CEO),,£907.5 million (2022)[1],£643.6 million (2022)[1],,,www.taylorwimpey.co.uk,"£4,419.9 million (2022)[1]",,,,,,,,,,,,,,,
92,Tesco,Tesco Stores (Holdings) Limited (1947–1981)[1]Tesco Stores (Holdings) Public Limited Company (1981–1983)[2],Public,LSE: TSCOFTSE 100 Component,GB00BLGZ9862,Retail,"1919; 105 years ago (1919) Hackney, London, England, UK",Jack Cohen,"Tesco House, Shire Park, Kestrel Way, Welwyn Garden City, Hertfordshire, England, UK",John Allan (Chairman)[4]Ken Murphy (CEO)[5],,£2.825 billion (2022)[6],£1.483 billion (2022)[6],,"354,744 (2022)[3]",tescoplc.com,£61.344 billion (2022)[6],,,,SupermarketHypermarketSuperstoreConvenience shop,"£12,189 billion (2022)[6]","£15,644 billion (2022)[6]",,,Tesco Stores Ltd.Tesco BankTesco MobileTesco IrelandTesco Family Dining Ltd.DunnhumbySpenhillBooker Group,,,"4,673 (2021)[3]",,One StopF&FPaperchaseBookerMakroPremier,
93,Unilever,,Public,"LSE: ULVR
Euronext Amsterdam: UNA
NYSE: UL
IDX: UNVR[a]
FTSE 100 component
AEX component
LQ45 component[a]",GB00B10RZP78ID1000095706[a],Consumer goods,2 September 1929;94 years ago (1929-09-02),,"London, England",Nils Andersen (chair)Hein Schumacher (CEO) Graeme Pitkethly (CFO),,€10.755 billion (2022)[1],€8.269 billion (2022)[1],,"148,000 (2022)[2]",www.unilever.com,€60.073 billion (2022)[1],,,Worldwide,"List

Foods
Condiments
Ice cream
Energy drinks
Wellbeing vitamins
Minerals and supplements
Tea
Instant coffee
Baby food
Pharmaceutical and consumer healthcare products
Breakfast cereals
Cleaning agents
Water and air purifiers
Pet food
Toothpaste
Bottled water
Soft drinks
Beauty products
Personal care",€77.821 billion (2022)[1],€21.701 billion (2022)[1],,,,Lever BrothersMargarine Unie,"Lever Brothers branch:William Lever, 1st Viscount LeverhulmeJames Darcy LeverMargarine Unie line:Samuel van den BerghJohann Schicht",,,See list of brands,
94,United Utilities,,Public limited company,LSE: UU.FTSE 100 Component,,Water industry,1995; 29 years ago (1995),,"Warrington, England, UK",Sir David Higgins (chair­person) Louise Beardmore (CEO),Water supplySewage treatment,£610.0 million (2022)[1],£(56.8)  million (2022)[1],,,www.unitedutilities.com,"£1,862.7 million (2022)[1]",,,North West England,Drinking waterRecycled wastewater,,,,,,,,,2.0 Gl/day (drinking)2.0 Gl/day (recycled),,
95,Unite Group,,Public,LSE: UTGFTSE 100 component,,Student accommodation,1991,Nicholas Porter,"Bristol, England, UK","Phil White CBE, (Chairman)Richard Smith (CEO)Joe Lister (CFO)",Property investment and development,£244.1 million (2022)[1],£356.4 million (2022)[1],,"1,900 (2023)[2]",www.unite-group.co.uk,£259.3 million (2022)[1],,,,Student accommodation (halls of residence),,,,,,,,,,,
96,Vodafone Group,,Public,LSE: VODNasdaq: VODFTSE 100 Component,,Telecommunications,16 September 1991; 32 years ago (1991-09-16),,"Newbury, Berkshire, England, UK",Jean-François van Boxmeer (chairman)Margherita Della Valle (CEO),,€14.296 billion (2023)[1],€12.335 billion (2023)[1],,"104,000 (2022)[1]",vodafone.com,€45.706 billion (2023)[1],,,Worldwide,Fixed telephonyMobile telephonyBroadbandDigital televisionInternet televisionIPTVIoT,€155.521 billion (2023)[1],€64.483 billion (2023)[1],,"List
VodacomVodafone AlbaniaVodafone AustraliaVodafone Czech RepublicVodafone EgyptVodafone GermanyVodafone GreeceAirtel-VodafoneVodafone IdeaVodafone IrelandVodafone ItalyVodafone NetherlandsVodafone PortugalVodafone RomaniaVodafone TurkeyVodafone UKUPC Czech RepublicUPC MagyarországUPC RomaniaUnitymediaKKTC Telsim",Vodafone Global Enterprise,"Racal Telecom (1981–1991)
Voda-Racal Telecom (1985–1991)",Ernest HarrisonGerry Whent,,,,
97,Weir Group,,Public,LSE: WEIRFTSE 100 component,,Engineering,1871,,"Glasgow, Scotland, UK","Charles Berry, (Chairman) Jon Stanton, (CEO)  William Weir, 3rd Viscount Weir, (Former Chairman)",,£394.8 million (2022)[1],£213.8 million (2022)[1],,"15,000 (2022)[2]",www.global.weir,"£2,472.1 million (2022)[1]",,,,,,,,,,,,,,,
98,Whitbread,Whitbread Holdings (2000–2001)[1],Public limited company,LSE: WTBFTSE 100 Component,,LeisureHospitality,"1742; 282 years ago (1742) in London, England",Samuel Whitbread,"Houghton Regis, England, UK",Adam Crozier (chair­person) Dominic Paul (CEO),,£543.5 million (2023)[2],£278.8 million (2023)[2],,"35,000 (2023)[3]",whitbread.co.uk,"£2,625.2 million (2023)[2]",,,United KingdomUnited Arab EmiratesIrelandIndiaGermany,,,,,,Premier InnBrewers FayreTable TableBeefeaterCookhouse & Pub,,,,,,
